value
#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,06,26,03,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,36,68,6.0,8.2,99.00,99.00,99.00,999,1017.7,25.2,27.1,999.0,99.0,99.00
2008,06,26,04,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,27.1,999.0,99.0,99.00
2008,06,26,04,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.8,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.8,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.8,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.8,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,36,71,4.9,6.1,99.00,99.00,99.00,999,1017.8,25.1,27.1,999.0,99.0,99.00
2008,06,26,05,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.8,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.9,999.0,27.1,999.0,99.0,99.00
2008,06,26,05,54,999,99.0,99.0,99.00,99.00,99.00,999,1018.0,999.0,27.1,999.0,99.0,99.00
2008,06,26,06,00,999,99.0,99.0,99.00,99.00,99.00,999,1018.1,999.0,27.1,999.0,99.0,99.00
2008,06,26,06,06,999,99.0,99.0,99.00,99.00,99.00,999,1018.0,999.0,27.1,999.0,99.0,99.00
